2024-03-01 21:37:27.115 DEBUG |   - Found Res: [7f0100ab] - attr/vpiUnderlinePageIndicatorStyle [ResourceUtil]
2024-03-01 21:37:27.115 DEBUG |   - Found Res: [7f0100ac] - attr/theme [ResourceUtil]
2024-03-01 21:37:27.116 DEBUG |   - Found Res: [7f0100ad] - attr/environment [ResourceUtil]
2024-03-01 21:37:27.116 DEBUG |   - Found Res: [7f0100ae] - attr/fragmentStyle [ResourceUtil]
2024-03-01 21:37:27.116 DEBUG |   - Found Res: [7f0100af] - attr/fragmentMode [ResourceUtil]
2024-03-01 21:37:27.116 DEBUG |   - Found Res: [7f0100b0] - attr/buyButtonHeight [ResourceUtil]
2024-03-01 21:37:27.116 DEBUG |   - Found Res: [7f0100b1] - attr/buyButtonWidth [ResourceUtil]
2024-03-01 21:37:27.116 DEBUG |   - Found Res: [7f0100b2] - attr/buyButtonText [ResourceUtil]
2024-03-01 21:37:27.117 DEBUG |   - Found Res: [7f0100b3] - attr/buyButtonAppearance [ResourceUtil]
2024-03-01 21:37:27.117 DEBUG |   - Found Res: [7f0100b4] - attr/maskedWalletDetailsTextAppearance [ResourceUtil]
2024-03-01 21:37:27.117 DEBUG |   - Found Res: [7f0100b5] - attr/maskedWalletDetailsHeaderTextAppearance [ResourceUtil]
2024-03-01 21:37:27.117 DEBUG |   - Found Res: [7f0100b6] - attr/maskedWalletDetailsBackground [ResourceUtil]
2024-03-01 21:37:27.117 DEBUG |   - Found Res: [7f0100b7] - attr/maskedWalletDetailsButtonTextAppearance [ResourceUtil]
2024-03-01 21:37:27.118 DEBUG |   - Found Res: [7f0100b8] - attr/maskedWalletDetailsButtonBackground [ResourceUtil]
2024-03-01 21:37:27.118 DEBUG |   - Found Res: [7f0100b9] - attr/maskedWalletDetailsLogoTextColor [ResourceUtil]
2024-03-01 21:37:27.118 DEBUG |   - Found Res: [7f0100ba] - attr/maskedWalletDetailsLogoImageType [ResourceUtil]
2024-03-01 21:37:27.118 DEBUG |   - Found Res: [7f0100bb] - attr/multi_select [ResourceUtil]
2024-03-01 21:37:27.118 DEBUG |   - Found Res: [7f0100bc] - attr/confirm_logout [ResourceUtil]
2024-03-01 21:37:27.119 DEBUG |   - Found Res: [7f0100bd] - attr/fetch_user_info [ResourceUtil]
2024-03-01 21:37:27.119 DEBUG |   - Found Res: [7f0100be] - attr/login_text [ResourceUtil]
2024-03-01 21:37:27.119 DEBUG |   - Found Res: [7f0100bf] - attr/logout_text [ResourceUtil]
2024-03-01 21:37:27.119 DEBUG |   - Found Res: [7f0100c0] - attr/show_pictures [ResourceUtil]
2024-03-01 21:37:27.119 DEBUG |   - Found Res: [7f0100c1] - attr/extra_fields [ResourceUtil]
2024-03-01 21:37:27.120 DEBUG |   - Found Res: [7f0100c2] - attr/show_title_bar [ResourceUtil]
2024-03-01 21:37:27.120 DEBUG |   - Found Res: [7f0100c3] - attr/title_text [ResourceUtil]
2024-03-01 21:37:27.120 DEBUG |   - Found Res: [7f0100c4] - attr/done_button_text [ResourceUtil]
2024-03-01 21:37:27.120 DEBUG |   - Found Res: [7f0100c5] - attr/title_bar_background [ResourceUtil]
2024-03-01 21:37:27.120 DEBUG |   - Found Res: [7f0100c6] - attr/done_button_background [ResourceUtil]
2024-03-01 21:37:27.121 DEBUG |   - Found Res: [7f0100c7] - attr/radius_in_meters [ResourceUtil]
2024-03-01 21:37:27.121 DEBUG |   - Found Res: [7f0100c8] - attr/results_limit [ResourceUtil]
2024-03-01 21:37:27.121 DEBUG |   - Found Res: [7f0100c9] - attr/search_text [ResourceUtil]
2024-03-01 21:37:27.121 DEBUG |   - Found Res: [7f0100ca] - attr/show_search_box [ResourceUtil]
2024-03-01 21:37:27.121 DEBUG |   - Found Res: [7f0100cb] - attr/preset_size [ResourceUtil]
2024-03-01 21:37:27.121 DEBUG |   - Found Res: [7f0100cc] - attr/is_cropped [ResourceUtil]
2024-03-01 21:37:27.122 DEBUG |   - Found Res: [7f0100cd] - attr/exampleString [ResourceUtil]
2024-03-01 21:37:27.122 DEBUG |   - Found Res: [7f0100ce] - attr/exampleDimension [ResourceUtil]
2024-03-01 21:37:27.122 DEBUG |   - Found Res: [7f0100cf] - attr/exampleColor [ResourceUtil]
2024-03-01 21:37:27.123 DEBUG |   - Found Res: [7f0100d0] - attr/exampleDrawable [ResourceUtil]
2024-03-01 21:37:27.123 DEBUG |   - Found Res: [7f020077] - drawable/buycott_scanner_overlay [ResourceUtil]
2024-03-01 21:37:27.123 DEBUG |   - Found Res: [7f020078] - drawable/buycott_scanner_overlay_l [ResourceUtil]
2024-03-01 21:37:27.123 DEBUG |   - Found Res: [7f020079] - drawable/buycott_scanner_overlay_ll [ResourceUtil]
2024-03-01 21:37:27.123 DEBUG |   - Found Res: [7f020016] - drawable/abc_ic_clear [ResourceUtil]
2024-03-01 21:37:27.124 DEBUG |   - Found Res: [7f020018] - drawable/abc_ic_clear_holo_light [ResourceUtil]
2024-03-01 21:37:27.124 DEBUG |   - Found Res: [7f020028] - drawable/abc_item_background_holo_dark [ResourceUtil]
2024-03-01 21:37:27.124 DEBUG |   - Found Res: [7f020029] - drawable/abc_item_background_holo_light [ResourceUtil]
2024-03-01 21:37:27.124 DEBUG |   - Found Res: [7f020030] - drawable/abc_list_selector_background_transition_holo_dark [ResourceUtil]
2024-03-01 21:37:27.124 DEBUG |   - Found Res: [7f020031] - drawable/abc_list_selector_background_transition_holo_light [ResourceUtil]
2024-03-01 21:37:27.125 DEBUG |   - Found Res: [7f020034] - drawable/abc_list_selector_holo_dark [ResourceUtil]
2024-03-01 21:37:27.125 DEBUG |   - Found Res: [7f020035] - drawable/abc_list_selector_holo_light [ResourceUtil]
2024-03-01 21:37:27.127 DEBUG |   - Found Res: [7f02003a] - drawable/abc_search_dropdown_dark [ResourceUtil]
2024-03-01 21:37:27.127 DEBUG |   - Found Res: [7f02003b] - drawable/abc_search_dropdown_light [ResourceUtil]
2024-03-01 21:37:27.128 DEBUG |   - Found Res: [7f020042] - drawable/abc_spinner_ab_holo_dark [ResourceUtil]
2024-03-01 21:37:27.128 DEBUG |   - Found Res: [7f020043] - drawable/abc_spinner_ab_holo_light [ResourceUtil]
2024-03-01 21:37:27.128 DEBUG |   - Found Res: [7f020046] - drawable/abc_tab_indicator_ab_holo [ResourceUtil]
2024-03-01 21:37:27.128 DEBUG |   - Found Res: [7f020053] - drawable/abc_textfield_searchview_holo_dark [ResourceUtil]
2024-03-01 21:37:27.129 DEBUG |   - Found Res: [7f020054] - drawable/abc_textfield_searchview_holo_light [ResourceUtil]
2024-03-01 21:37:27.129 DEBUG |   - Found Res: [7f020055] - drawable/abc_textfield_searchview_right_holo_dark [ResourceUtil]
2024-03-01 21:37:27.129 DEBUG |   - Found Res: [7f020056] - drawable/abc_textfield_searchview_right_holo_light [ResourceUtil]
2024-03-01 21:37:27.129 DEBUG |   - Found Res: [7f020058] - drawable/account_element_on_hover [ResourceUtil]
2024-03-01 21:37:27.129 DEBUG |   - Found Res: [7f02005b] - drawable/activity_product_campaign_feed_gradiant [ResourceUtil]
2024-03-01 21:37:27.130 DEBUG |   - Found Res: [7f02005d] - drawable/add_product_confirm_background [ResourceUtil]
2024-03-01 21:37:27.130 DEBUG |   - Found Res: [7f020066] - drawable/border_all_around [ResourceUtil]
2024-03-01 21:37:27.130 DEBUG |   - Found Res: [7f020067] - drawable/border_bottom_gray [ResourceUtil]
2024-03-01 21:37:27.130 DEBUG |   - Found Res: [7f020068] - drawable/borderbottom [ResourceUtil]
